	Endodermis	Trichoblast	Columella	Phloem Pole Pericycle	Metaphloem & Companion Cell	Cortex	Lateral Root Cap	Atrichoblast	Xylem Pole Pericycle	Procambium	Protoxylem	Metaxylem	Protophloem
AT1G02580	0.0007098063	0.0050992994	0.0021435358	0.0	0.0	0.0017443342	0.0009908696	0.030041557	0.001969192	0.0018087231	0.011460951	0.0	0.0
AT1G02610	0.14425656	0.22704144	0.10929487	0.07088162	0.20114128	0.1802465	0.04313826	0.27135205	0.06552266	0.09145229	0.052978672	0.024882881	0.22820476
AT1G02640	0.034222893	0.0028240276	0.008482063	0.050452795	0.0067668613	0.0022746949	0.008596714	0.006130153	0.0360323	0.0059035695	1.7387118	0.025716243	0.03553032
AT1G02650	0.0070533757	0.009577703	0.008337658	0.0	0.00662035	0.0058853244	0.06176181	0.007369618	0.0017161941	0.0008006034	0.0509978	0.008411282	0.0
AT1G02660	0.05487139	0.06795697	0.067241885	0.06789685	0.021119202	0.038979657	0.09446354	0.060943365	0.045467783	0.06295238	0.05279009	0.03624624	0.02231795
AT1G02670	0.0057446216	0.0015376916	0.061439108	0.0	0.0	0.008332513	0.018210916	0.0014980809	0.0007664653	0.0060629775	0.0	0.005940746	0.0
AT1G02680	0.11130078	0.07554195	0.11866871	0.11620285	0.08602344	0.07912366	0.17184494	0.083552085	0.14260355	0.082816005	0.084617905	0.13824219	0.034215607
AT1G02690	0.071604505	0.022155482	0.039598662	0.06405059	0.053257328	0.008683758	0.12518059	0.06391804	0.0826927	0.045011614	0.003246402	0.031558428	0.011143265
AT1G02700	0.0010635925	0.0019033349	0.0	0.056773763	0.09362646	0.00048256846	0.002522183	0.00027637763	0.0692223	0.004014614	0.028116757	0.0018422045	0.020316191
AT1G02705	0.0	0.00058888446	0.0	0.041851487	0.42835546	0.00035081332	0.0006052241	0.0005903923	0.008017646	0.0029306316	0.020658432	0.0	0.050021324
AT1G02720	0.08973913	0.08452035	0.058947936	0.17832665	0.08333222	0.12150841	0.12379013	0.06664881	0.15872693	0.08248295	0.37356648	0.06836914	0.06579461
AT1G02730	0.012667913	0.0	0.0	0.0015239383	0.0	0.00088308606	0.030734869	0.009717318	0.003665654	0.0	0.0	0.0	0.0
AT1G02740	0.006505922	0.0028599729	0.0675791	0.022117365	0.017054493	0.010028287	0.039371338	0.006601188	0.017937727	0.023038035	0.0010145266	0.0014166462	0.0051808073
